12356_g	XP_0348914431
26499_g	XP_0348892431
26499_g	XP_0348892441
26499_g	XP_0349183231
26499_g	XP_0348892461
26499_g	XP_0348892421
26499_g	XP_0349183241
26499_g	XP_0348874111
26499_g	XP_0348874201
26499_g	XP_0348874271
26499_g	XP_0348874351
26499_g	XP_0348874431
26499_g	XP_0348963321
26499_g	XP_0348963331
26499_g	XP_0348963341
26499_g	XP_0348963351
49814_g	XP_0348970621
49814_g	XP_0349039851
49814_g	XP_0348970781
49814_g	XP_0348970741
49814_g	XP_0348970721
49814_g	XP_0348970731
49814_g	XP_0349039811
49814_g	XP_0349004561
49814_g	XP_0349028291
49814_g	XP_0349039791
49814_g	XP_0349039801
49814_g	XP_0349143001
49814_g	XP_0349142951
49814_g	XP_0349028251
49814_g	XP_0348970771
49814_g	XP_0349028281
49814_g	XP_0349142971
49814_g	XP_0349039621
49814_g	XP_0349093001
49814_g	XP_0348913931
49814_g	XP_0348970761
49814_g	XP_0349028261
49814_g	XP_0349142991
49814_g	XP_0348970641
49814_g	XP_0349252101
25131_g	XP_0349181381
21005_g	XP_0349198001
21005_g	XP_0349257271
21005_g	XP_0349201571
21005_g	XP_0348985531
21005_g	XP_0348985541
21005_g	XP_0349201671
21005_g	XP_0349200261
21005_g	XP_0348985511
21005_g	XP_0348985481
21005_g	XP_0349257261
21005_g	XP_0348926301
21005_g	XP_0348943701
21005_g	XP_0348926351
21005_g	XP_0348925711
21005_g	XP_0348925721
21005_g	XP_0349199941
21005_g	XP_0349197991
21005_g	XP_0349257241
21005_g	XP_0349200471
21005_g	XP_0349295761
21005_g	XP_0348943521
21005_g	XP_0348943601
21005_g	XP_0349201381
21005_g	XP_0349201461
21005_g	XP_0349257251
7482_g	XP_0349058961
7482_g	XP_0349058971
7482_g	XP_0349009741
7482_g	XP_0348882271
7482_g	XP_0348882281
7482_g	XP_0348960001
7482_g	XP_0349289601
7482_g	XP_0349289581
7482_g	XP_0349289591
7482_g	XP_0349193541
7482_g	XP_0349193531
7482_g	XP_0348960021
7482_g	XP_0348954591
7482_g	XP_0348960011
7482_g	XP_0349176231
7482_g	XP_0348925131
7482_g	XP_0349008511
7482_g	XP_0349008521
41577_g	XP_0348872581
41577_g	XP_0349106191
41577_g	XP_0348872741
41577_g	XP_0348930521
41577_g	XP_0348930561
41577_g	XP_0348930471
41577_g	XP_0348930481
41577_g	XP_0349106181
41577_g	XP_0348872751
41577_g	XP_0349158331
41577_g	XP_0349106141
41577_g	XP_0348930571
41577_g	XP_0348930441
41577_g	XP_0348930531
41577_g	XP_0348930491
41577_g	XP_0348930391
41577_g	XP_0348930461
41577_g	XP_0348930381
41577_g	XP_0348930431
41577_g	XP_0349106121
41577_g	XP_0349266851
41577_g	XP_0349283451
41577_g	XP_0349283441
41577_g	XP_0349158341
41577_g	XP_0349106171
31235_g	XP_0349267631
37650_g	XP_0348877691
37650_g	XP_0349295771
37650_g	XP_0349295761
37650_g	XP_0349201671
37650_g	XP_0349257271
37650_g	XP_0349257261
37650_g	XP_0349204421
37650_g	XP_0349204431
37650_g	XP_0349181381
37650_g	XP_0348925711
37650_g	XP_0348925721
37650_g	XP_0349295511
37650_g	XP_0348926291
37650_g	XP_0348926321
37650_g	XP_0348968571
14767_g	XP_0349257251
14767_g	XP_0349201671
14767_g	XP_0349198001
14767_g	XP_0349257261
14767_g	XP_0349200261
14767_g	XP_0349257271
14767_g	XP_0348985531
14767_g	XP_0349201571
14767_g	XP_0348985541
14767_g	XP_0348943521
14767_g	XP_0348943601
14767_g	XP_0348877691
14767_g	XP_0348943701
14767_g	XP_0348926351
14767_g	XP_0349257241
14767_g	XP_0349025991
14767_g	XP_0349026001
14767_g	XP_0349204431
14767_g	XP_0349295511
14767_g	XP_0349181381
11783_g	XP_0349257241
11783_g	XP_0348985481
11783_g	XP_0348985511
11783_g	XP_0349199941
11783_g	XP_0349200261
11783_g	XP_0349200471
11783_g	XP_0348985531
11783_g	XP_0349234781
11783_g	XP_0349198001
11783_g	XP_0349201571
11783_g	XP_0348968531
11783_g	XP_0348968871
11783_g	XP_0349234831
11783_g	XP_0349201671
11783_g	XP_0349234751
11783_g	XP_0349234761
11783_g	XP_0348985541
11783_g	XP_0349201381
11783_g	XP_0349201461
11783_g	XP_0349284041
11783_g	XP_0349284051
11783_g	XP_0348925711
11783_g	XP_0348925721
11783_g	XP_0349197991
11783_g	XP_0349257261
17412_g	XP_0349158341
17412_g	XP_0348930461
17412_g	XP_0348930531
17412_g	XP_0348930561
17412_g	XP_0349266851
17412_g	XP_0348930441
17412_g	XP_0348930521
17412_g	XP_0348872581
17412_g	XP_0348930491
17412_g	XP_0349158331
17412_g	XP_0349266821
17412_g	XP_0348930411
17412_g	XP_0348930431
17412_g	XP_0348930471
17412_g	XP_0349283441
17412_g	XP_0349283451
17412_g	XP_0348930481
17412_g	XP_0349106171
17412_g	XP_0348930381
17412_g	XP_0349106221
17412_g	XP_0348872741
17412_g	XP_0349106141
17412_g	XP_0349106191
17412_g	XP_0349266841
17412_g	XP_0349158411
26349_g	XP_0349181381
38425_g	XP_0349092961
38425_g	XP_0349194681
38425_g	XP_0349024971
38425_g	XP_0349024981
38425_g	XP_0349024991
38425_g	XP_0349025001
38425_g	XP_0349025011
38425_g	XP_0349025021
38425_g	XP_0349025031
38425_g	XP_0349025041
38425_g	XP_0349025051
38425_g	XP_0349025071
38425_g	XP_0349025081
38425_g	XP_0349025091
38425_g	XP_0349025101
38425_g	XP_0349168571
38425_g	XP_0349127601
38425_g	XP_0349127611
38425_g	XP_0349127621
38425_g	XP_0349127631
38425_g	XP_0349194691
41284_g	XP_0349267711
39405_g	XP_0349181381
41079_g	XP_0349267631
1780_g	XP_0349257261
1780_g	XP_0349257271
29980_g	XP_0348956641
29980_g	XP_0348956631
29980_g	XP_0348977231
29980_g	XP_0349206951
29980_g	XP_0349106271
29980_g	XP_0349063681
29980_g	XP_0348977201
29980_g	XP_0348977211
29980_g	XP_0349206911
29980_g	XP_0349206931
29980_g	XP_0349206941
29980_g	XP_0348956671
29980_g	XP_0349042171
29980_g	XP_0349063431
29980_g	XP_0349063441
29980_g	XP_0348983101
29980_g	XP_0348977181
29980_g	XP_0349206901
29980_g	XP_0349168461
29980_g	XP_0349206891
29980_g	XP_0348977261
29980_g	XP_0349296691
29980_g	XP_0349296701
29980_g	XP_0348935351
29980_g	XP_0349168531
37629_g	XP_0349025991
37629_g	XP_0349026001
30887_g	XP_0349025991
30887_g	XP_0349026001
38633_g	XP_0349267711
22758_g	XP_0349032271
22758_g	XP_0348998251
22758_g	XP_0349253461
22758_g	XP_0349211751
22758_g	XP_0349282971
22758_g	XP_0349032311
22758_g	XP_0349032251
22758_g	XP_0349282961
22758_g	XP_0348998231
22758_g	XP_0348998241
22758_g	XP_0349282991
22758_g	XP_0349304731
22758_g	XP_0349147331
22758_g	XP_0349147351
22758_g	XP_0349283011
22758_g	XP_0349147361
22758_g	XP_0349147321
22758_g	XP_0349008101
22758_g	XP_0349008171
22758_g	XP_0349008261
22758_g	XP_0349008341
22758_g	XP_0349282911
22758_g	XP_0348872781
22758_g	XP_0349147261
22758_g	XP_0348983131
21850_g	XP_0349181381
21850_g	XP_0349199941
21850_g	XP_0348985511
21850_g	XP_0348926301
21850_g	XP_0348985481
21850_g	XP_0349025991
21850_g	XP_0349026001
21850_g	XP_0349200471
21850_g	XP_0348926351
21850_g	XP_0348925691
21850_g	XP_0348925701
21850_g	XP_0349201381
21850_g	XP_0349201461
21850_g	XP_0349197991
25071_g	XP_0349257241
25071_g	XP_0349200471
25071_g	XP_0348985481
25071_g	XP_0348985511
25071_g	XP_0349200261
25071_g	XP_0348925761
25071_g	XP_0349295761
25071_g	XP_0349199941
25071_g	XP_0348925691
25071_g	XP_0348925701
25071_g	XP_0349257261
25071_g	XP_0349257251
25071_g	XP_0349257271
25071_g	XP_0349295771
25071_g	XP_0348943521
25071_g	XP_0348943601
25071_g	XP_0348943701
25071_g	XP_0348926351
25071_g	XP_0349204431
25071_g	XP_0349181381
25071_g	XP_0348926301
25071_g	XP_0349284031
25071_g	XP_0348877691
25071_g	XP_0349204421
25071_g	XP_0349234781
43449_g	XP_0348964861
43449_g	XP_0349048291
1977_g	XP_0348985541
1977_g	XP_0348985531
1977_g	XP_0349201571
1977_g	XP_0349198001
1977_g	XP_0348925711
1977_g	XP_0348925721
1977_g	XP_0348925651
1977_g	XP_0348925761
1977_g	XP_0349257251
1977_g	XP_0348943701
1977_g	XP_0349257261
28661_g	XP_0349267631
40603_g	XP_0349306771
40603_g	XP_0348939891
40603_g	XP_0349023441
40603_g	XP_0349307121
40603_g	XP_0348964591
40603_g	XP_0348921051
40603_g	XP_0349004441
40603_g	XP_0348921031
40603_g	XP_0348964631
40603_g	XP_0348964571
40603_g	XP_0349004461
40603_g	XP_0348964551
40603_g	XP_0349106251
40603_g	XP_0349307131
40603_g	XP_0348964611
40603_g	XP_0349023401
40603_g	XP_0349030591
40603_g	XP_0348964561
40603_g	XP_0349073341
40603_g	XP_0349073351
40603_g	XP_0348964621
40603_g	XP_0349186541
40603_g	XP_0349186551
40603_g	XP_0349186571
40603_g	XP_0349311531
8102_g	XP_0349200261
8102_g	XP_0349200471
8102_g	XP_0348985481
8102_g	XP_0348985511
8102_g	XP_0349199941
8102_g	XP_0349257241
8102_g	XP_0349234831
8102_g	XP_0349234781
8102_g	XP_0349234751
8102_g	XP_0349234761
8102_g	XP_0349284031
8102_g	XP_0348968531
8102_g	XP_0349284051
8102_g	XP_0348968871
8102_g	XP_0349295761
8102_g	XP_0349204431
8102_g	XP_0349295771
8102_g	XP_0349295511
40876_g	XP_0348914431
9534_g	XP_0349267631
9534_g	XP_0349267701
23677_g	XP_0349220891
23677_g	XP_0349216581
23677_g	XP_0349216431
23677_g	XP_0349216571
23677_g	XP_0349216421
23677_g	XP_0348921161
23677_g	XP_0349216491
23677_g	XP_0349060891
23677_g	XP_0348867761
23677_g	XP_0349304761
23677_g	XP_0349304771
23677_g	XP_0349304781
23677_g	XP_0349304791
23677_g	XP_0349304811
23677_g	XP_0349304821
23677_g	XP_0349216561
23677_g	XP_0348874111
23677_g	XP_0348874201
23677_g	XP_0348874271
23677_g	XP_0348874351
23677_g	XP_0348874431
23677_g	XP_0348963321
23677_g	XP_0348963331
23677_g	XP_0348963341
23677_g	XP_0348963351
10186_g	XP_0349267631
10186_g	XP_0349267711
15118_g	XP_0348998041
15118_g	XP_0348998051
15118_g	XP_0349079691
21803_g	XP_0349267701
23695_g	XP_0349216851
23695_g	XP_0349216501
23695_g	XP_0349216511
23695_g	XP_0349216791
23695_g	XP_0349216801
23695_g	XP_0348921081
23695_g	XP_0348921091
23695_g	XP_0348921101
23695_g	XP_0348921111
23695_g	XP_0348921121
23695_g	XP_0348921131
23695_g	XP_0348921141
23695_g	XP_0348921161
23695_g	XP_0349221281
23695_g	XP_0349216561
23695_g	XP_0349216421
23695_g	XP_0349216431
23695_g	XP_0349213061
23695_g	XP_0348867761
23695_g	XP_0349216491
23695_g	XP_0348963321
23695_g	XP_0348963331
23695_g	XP_0348963341
23695_g	XP_0348963351
23695_g	XP_0348874431
9495_g	XP_0348985511
9495_g	XP_0348985481
9495_g	XP_0349200261
9495_g	XP_0348925691
9495_g	XP_0348925701
9495_g	XP_0349199941
9495_g	XP_0349257261
9495_g	XP_0349257271
9495_g	XP_0348926301
9495_g	XP_0348943521
9495_g	XP_0348943601
9495_g	XP_0348943701
9495_g	XP_0349200471
9495_g	XP_0349257251
9495_g	XP_0349197991
9495_g	XP_0349257241
9495_g	XP_0349198001
9495_g	XP_0348985531
9495_g	XP_0349201571
9495_g	XP_0349201671
9495_g	XP_0349201381
9495_g	XP_0348925651
9495_g	XP_0348925661
9495_g	XP_0349181381
9495_g	XP_0348985541
7857_g	XP_0349267631
1536_g	XP_0349194011
20475_g	XP_0349191211
20475_g	XP_0349071821
28280_g	XP_0349267711
28280_g	XP_0349267631
36828_g	XP_0349017021
36828_g	XP_0348882531
36828_g	XP_0348882551
36828_g	XP_0348882541
15164_g	XP_0349181381
7816_g	XP_0349267631
41139_g	XP_0349257251
5952_g	XP_0348970621
8985_g	XP_0348985531
8985_g	XP_0349198001
8985_g	XP_0349201571
8985_g	XP_0348985541
8985_g	XP_0349201671
8985_g	XP_0348925761
8985_g	XP_0348925651
8985_g	XP_0348925661
8985_g	XP_0348925711
8985_g	XP_0348925721
8985_g	XP_0348926291
28517_g	XP_0349257241
28517_g	XP_0349257261
28517_g	XP_0349257271
28517_g	XP_0348985481
28517_g	XP_0348925711
28517_g	XP_0348925721
28517_g	XP_0349199941
28517_g	XP_0348985511
28517_g	XP_0348877691
28517_g	XP_0348925761
28517_g	XP_0348943521
28517_g	XP_0348943601
28517_g	XP_0348943701
28517_g	XP_0349200471
28517_g	XP_0349295761
28517_g	XP_0348925651
28517_g	XP_0348925661
28517_g	XP_0349200261
28517_g	XP_0349198001
28517_g	XP_0349201671
28517_g	XP_0348985531
28517_g	XP_0348985541
28517_g	XP_0349201381
28517_g	XP_0349201461
28517_g	XP_0349234781
9998_g	XP_0349181381
9998_g	XP_0349025991
9998_g	XP_0349026001
9998_g	XP_0348877691
23111_g	XP_0349175211
23111_g	XP_0348950161
23111_g	XP_0349221641
23111_g	XP_0349165391
23111_g	XP_0348962481
23111_g	XP_0349221611
23111_g	XP_0349222091
23111_g	XP_0349137041
23111_g	XP_0349312961
23111_g	XP_0349312871
23111_g	XP_0349100451
23111_g	XP_0349080051
23111_g	XP_0349070691
23111_g	XP_0349087161
23111_g	XP_0349070701
23111_g	XP_0349070671
23111_g	XP_0349320281
23111_g	XP_0349080061
23111_g	XP_0348905001
15869_g	XP_0349070671
15869_g	XP_0349070701
15869_g	XP_0349087161
15869_g	XP_0349080051
15869_g	XP_0349320281
15869_g	XP_0349070691
15869_g	XP_0349100451
15869_g	XP_0349080061
15869_g	XP_0348950161
15869_g	XP_0349221611
15869_g	XP_0348962481
15869_g	XP_0349137041
15869_g	XP_0349312871
15869_g	XP_0349312961
15869_g	XP_0349221641
15869_g	XP_0349175211
15869_g	XP_0349222091
15869_g	XP_0349165391
49100_g	XP_0349058821
40165_g	XP_0349267631
38551_g	XP_0348899981
38551_g	XP_0348899971
38551_g	XP_0349332981
38551_g	XP_0349269061
38551_g	XP_0349081361
38551_g	XP_0349267721
38551_g	XP_0349247031
38551_g	XP_0348899941
38551_g	XP_0349269001
38551_g	XP_0349180921
38551_g	XP_0349225781
38551_g	XP_0349010101
38551_g	XP_0348899951
38551_g	XP_0349269071
38551_g	XP_0349007721
38551_g	XP_0349269051
38551_g	XP_0349267711
38551_g	XP_0348899961
38551_g	XP_0349010061
38551_g	XP_0348899891
38551_g	XP_0349267701
38551_g	XP_0349295351
38551_g	XP_0349269081
38551_g	XP_0349085501
38551_g	XP_0349083091
43051_g	XP_0348985511
43051_g	XP_0348985481
43051_g	XP_0349199941
43051_g	XP_0349200471
43051_g	XP_0349200261
43051_g	XP_0349201381
43051_g	XP_0349201461
43051_g	XP_0349257271
43051_g	XP_0349197991
43051_g	XP_0348943521
43051_g	XP_0348943601
43051_g	XP_0348943701
43051_g	XP_0349257251
43051_g	XP_0349257261
43051_g	XP_0348985531
43051_g	XP_0349201571
43051_g	XP_0349257241
43051_g	XP_0349198001
43051_g	XP_0349201671
43051_g	XP_0348985541
43051_g	XP_0348925651
43051_g	XP_0348925661
43051_g	XP_0349284031
43051_g	XP_0348925711
43051_g	XP_0348925721
50686_g	XP_0349267711
39396_g	XP_0349267631
36905_g	XP_0348884121
36905_g	XP_0348886041
36905_g	XP_0349194341
36905_g	XP_0349194371
36905_g	XP_0349194041
36905_g	XP_0348886031
36905_g	XP_0349022391
36905_g	XP_0349194011
36905_g	XP_0349022411
36905_g	XP_0349022401
36905_g	XP_0348959281
36905_g	XP_0349295211
36905_g	XP_0349194071
36905_g	XP_0348920941
36905_g	XP_0349019811
36905_g	XP_0348920981
36905_g	XP_0348920991
36905_g	XP_0349019591
36905_g	XP_0348959271
36905_g	XP_0349194161
36905_g	XP_0349132651
36905_g	XP_0349132561
36905_g	XP_0349019791
36905_g	XP_0349305341
36905_g	XP_0349305351
792_g	XP_0349257261
22539_g	XP_0349267631
4609_g	XP_0348985481
4609_g	XP_0349257241
4609_g	XP_0349234781
4609_g	XP_0348985511
4609_g	XP_0349234751
4609_g	XP_0349234761
4609_g	XP_0349234831
4609_g	XP_0349200471
4609_g	XP_0348968871
4609_g	XP_0349284031
4609_g	XP_0349199941
4609_g	XP_0349284051
4609_g	XP_0349284041
4609_g	XP_0349025991
4609_g	XP_0349026001
4609_g	XP_0349257251
44500_g	XP_0349199941
44500_g	XP_0348925651
44500_g	XP_0348925661
44500_g	XP_0348985511
44500_g	XP_0349200261
44500_g	XP_0348985481
44500_g	XP_0349201381
44500_g	XP_0349201461
44500_g	XP_0348925761
44500_g	XP_0349200471
44500_g	XP_0349197991
44500_g	XP_0348925711
44500_g	XP_0348925721
44500_g	XP_0348926301
44500_g	XP_0348943521
44500_g	XP_0348943601
44500_g	XP_0348943701
44500_g	XP_0348925691
44500_g	XP_0348925701
44500_g	XP_0348926351
44500_g	XP_0349257241
44500_g	XP_0349257251
44500_g	XP_0349257271
44500_g	XP_0348985531
44500_g	XP_0349201571
4922_g	XP_0349271061
4922_g	XP_0349027991
4922_g	XP_0348989821
4922_g	XP_0348989781
4922_g	XP_0348989801
4922_g	XP_0348989811
4922_g	XP_0348989341
4922_g	XP_0348989351
4922_g	XP_0348989361
4922_g	XP_0348989371
4922_g	XP_0349028061
4922_g	XP_0349227081
4922_g	XP_0348989841
4922_g	XP_0348989791
4922_g	XP_0348989831
4922_g	XP_0348990211
4922_g	XP_0348990171
4922_g	XP_0348921651
4922_g	XP_0348902641
4922_g	XP_0348990201
4922_g	XP_0349271081
4922_g	XP_0349271091
4922_g	XP_0349227071
4922_g	XP_0348989851
4922_g	XP_0349028141
35447_g	XP_0349267631
39955_g	XP_0349193771
39955_g	XP_0349193781
39955_g	XP_0349193791
39955_g	XP_0349193801
39955_g	XP_0349193821
39955_g	XP_0349193831
39955_g	XP_0349193841
39955_g	XP_0349193851
39955_g	XP_0349193861
39955_g	XP_0349193871
39955_g	XP_0349193881
39955_g	XP_0349193891
39955_g	XP_0349193901
39955_g	XP_0349193911
39955_g	XP_0349072311
39955_g	XP_0349252101
39955_g	XP_0349093001
39955_g	XP_0348994081
39955_g	XP_0349252121
39955_g	XP_0349025271
39955_g	XP_0348914451
39955_g	XP_0349266791
39955_g	XP_0349266801
39955_g	XP_0348914401
39955_g	XP_0349025121
1583_g	XP_0349295771
1583_g	XP_0348985511
1583_g	XP_0349295761
1583_g	XP_0349199941
1583_g	XP_0349234751
1583_g	XP_0349234761
1583_g	XP_0349234781
1583_g	XP_0348968531
1583_g	XP_0349200261
1583_g	XP_0348985481
1583_g	XP_0349284041
1583_g	XP_0348968871
1583_g	XP_0348877691
1583_g	XP_0349284051
1583_g	XP_0349257251
1583_g	XP_0348943521
1583_g	XP_0348943601
1583_g	XP_0348943701
1583_g	XP_0349204421
1583_g	XP_0349201381
1583_g	XP_0349201461
1583_g	XP_0349257271
1583_g	XP_0349257241
1583_g	XP_0349284031
1583_g	XP_0349257261
701_g	XP_0349332961
701_g	XP_0348921341
701_g	XP_0348934841
701_g	XP_0348934851
701_g	XP_0348934861
701_g	XP_0348934871
701_g	XP_0348934891
701_g	XP_0348934901
701_g	XP_0349186781
701_g	XP_0349186761
701_g	XP_0349039911
701_g	XP_0348967291
701_g	XP_0349169111
701_g	XP_0349120991
701_g	XP_0349097531
701_g	XP_0349097541
701_g	XP_0348964501
701_g	XP_0348964511
701_g	XP_0349128331
701_g	XP_0349186541
701_g	XP_0349186551
701_g	XP_0349186571
701_g	XP_0349258361
701_g	XP_0349269701
701_g	XP_0349180911
21066_g	XP_0349194761
21066_g	XP_0349194771
21066_g	XP_0349168541
21066_g	XP_0349296691
21066_g	XP_0349186401
21066_g	XP_0349332961
21066_g	XP_0349073341
21066_g	XP_0349073351
21066_g	XP_0349039911
21066_g	XP_0349186781
21066_g	XP_0348967291
21066_g	XP_0349311531
21066_g	XP_0349186761
21066_g	XP_0348921341
21066_g	XP_0349097531
21066_g	XP_0349097541
21066_g	XP_0349169111
21066_g	XP_0348934841
21066_g	XP_0348934851
21066_g	XP_0348934861
21066_g	XP_0348934871
21066_g	XP_0348934891
21066_g	XP_0348934901
21066_g	XP_0348964501
21066_g	XP_0348964511
45854_g	XP_0348970621
45854_g	XP_0349039621
45854_g	XP_0348914401
45854_g	XP_0348970761
45854_g	XP_0349039811
45854_g	XP_0349143001
45854_g	XP_0348970721
45854_g	XP_0348970731
45854_g	XP_0349028281
45854_g	XP_0349004561
45854_g	XP_0349028261
45854_g	XP_0348970741
45854_g	XP_0349039791
45854_g	XP_0349039801
45854_g	XP_0349039851
45854_g	XP_0349028291
45854_g	XP_0349142991
45854_g	XP_0348913931
45854_g	XP_0349025271
45854_g	XP_0348970781
45854_g	XP_0348914451
45854_g	XP_0349093001
45854_g	XP_0348970771
45854_g	XP_0349253141
45854_g	XP_0349266791
45172_g	XP_0349030591
45172_g	XP_0349307131
45172_g	XP_0348921031
45172_g	XP_0349306771
45172_g	XP_0349023401
45172_g	XP_0348939891
45172_g	XP_0348964551
45172_g	XP_0349023441
45172_g	XP_0348964591
45172_g	XP_0348964611
45172_g	XP_0349004441
45172_g	XP_0348921051
45172_g	XP_0349004461
45172_g	XP_0348964561
45172_g	XP_0349305711
45172_g	XP_0349305721
45172_g	XP_0349073341
45172_g	XP_0349073351
45172_g	XP_0349194761
45172_g	XP_0349194771
45172_g	XP_0349168541
45172_g	XP_0349106251
45172_g	XP_0348979091
45172_g	XP_0348964631
45172_g	XP_0349311531
11515_g	XP_0349099971
11515_g	XP_0349099981
11515_g	XP_0349099961
11515_g	XP_0349000001
11515_g	XP_0349000131
46957_g	XP_0348978651
46957_g	XP_0348978661
46957_g	XP_0348978671
46957_g	XP_0348978681
46957_g	XP_0348978691
46957_g	XP_0348978711
46957_g	XP_0348978721
46957_g	XP_0349272311
46957_g	XP_0349127821
46957_g	XP_0349127531
46957_g	XP_0349127541
46957_g	XP_0349127551
46957_g	XP_0349127561
46957_g	XP_0349127581
46957_g	XP_0349127791
46957_g	XP_0348970761
46957_g	XP_0349039621
46957_g	XP_0349253141
46957_g	XP_0349024971
46957_g	XP_0349024981
46957_g	XP_0349024991
46957_g	XP_0349025001
46957_g	XP_0349025011
46957_g	XP_0349025021
46957_g	XP_0349025031
41637_g	XP_0349267631
48927_g	XP_0349267631
45417_g	XP_0349267631
4012_g	XP_0349267631
40597_g	XP_0349307121
40597_g	XP_0349023441
40597_g	XP_0349306771
40597_g	XP_0348964591
40597_g	XP_0348964631
40597_g	XP_0348964571
40597_g	XP_0349004441
40597_g	XP_0348921031
40597_g	XP_0349004461
40597_g	XP_0348939891
40597_g	XP_0348964611
40597_g	XP_0349023401
40597_g	XP_0348964551
40597_g	XP_0348921051
40597_g	XP_0349307131
40597_g	XP_0349106251
40597_g	XP_0349030591
40597_g	XP_0348964561
40597_g	XP_0348964621
40597_g	XP_0349073341
40597_g	XP_0349073351
40597_g	XP_0349186541
40597_g	XP_0349186551
40597_g	XP_0349186571
40597_g	XP_0349168541
38573_g	XP_0349267711
32965_g	XP_0349181381
43984_g	XP_0348985481
43984_g	XP_0349257241
43984_g	XP_0348985511
43984_g	XP_0349199941
43984_g	XP_0349200261
43984_g	XP_0349197991
43984_g	XP_0349200471
43984_g	XP_0349201381
43984_g	XP_0349201461
43984_g	XP_0349257251
43984_g	XP_0349234781
43984_g	XP_0349284051
43984_g	XP_0349284041
43984_g	XP_0349234831
43984_g	XP_0348968871
43984_g	XP_0349284031
43984_g	XP_0349234751
43984_g	XP_0349234761
9583_g	XP_0348985511
9583_g	XP_0348985531
9583_g	XP_0349199941
9583_g	XP_0349201571
9583_g	XP_0348985541
9583_g	XP_0349200261
9583_g	XP_0349198001
9583_g	XP_0349201671
9583_g	XP_0349284031
9583_g	XP_0349201381
9583_g	XP_0349201461
9583_g	XP_0349234781
9583_g	XP_0349284041
9583_g	XP_0348968531
9583_g	XP_0348968871
9583_g	XP_0349284051
9583_g	XP_0349295771
9583_g	XP_0349234831
9583_g	XP_0349295761
9583_g	XP_0348877691
9583_g	XP_0349234751
9583_g	XP_0349234761
9583_g	XP_0349204421
21594_g	XP_0348945041
21594_g	XP_0348945031
39893_g	XP_0348913931
39893_g	XP_0349143001
39893_g	XP_0349028281
39893_g	XP_0348970741
39893_g	XP_0349028291
39893_g	XP_0348970721
39893_g	XP_0349039621
39893_g	XP_0348970731
39893_g	XP_0348970761
39893_g	XP_0348970641
39893_g	XP_0349028241
39893_g	XP_0349039811
39893_g	XP_0349004581
39893_g	XP_0349039611
39893_g	XP_0349142971
39893_g	XP_0349028261
39893_g	XP_0349039851
39893_g	XP_0349004561
